Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
50;22.5.2014 14:03:21;00:00:01;22.5.2014 14:03:21;0,000;VAC;0,000;VAC;22.5.2014 14:03:21;0,000;VAC;;22.5.2014 14:03:22
51;22.5.2014 14:03:22;00:00:01;22.5.2014 14:03:22;0,000;VAC;0,000;VAC;22.5.2014 14:03:22;0,000;VAC;;22.5.2014 14:03:23
52;22.5.2014 14:03:23;00:00:01;22.5.2014 14:03:23;0,000;VAC;0,000;VAC;22.5.2014 14:03:23;0,000;VAC;;22.5.2014 14:03:24
53;22.5.2014 14:03:24;00:00:01;22.5.2014 14:03:24;0,000;VAC;0,000;VAC;22.5.2014 14:03:24;0,000;VAC;;22.5.2014 14:03:25
54;22.5.2014 14:03:25;00:00:01;22.5.2014 14:03:25;0,000;VAC;0,000;VAC;22.5.2014 14:03:25;0,000;VAC;;22.5.2014 14:03:26
55;22.5.2014 14:03:26;00:00:01;22.5.2014 14:03:26;0,000;VAC;0,000;VAC;22.5.2014 14:03:26;0,000;VAC;;22.5.2014 14:03:27
56;22.5.2014 14:03:27;00:00:01;22.5.2014 14:03:27;0,000;VAC;0,000;VAC;22.5.2014 14:03:27;0,000;VAC;;22.5.2014 14:03:28
57;22.5.2014 14:03:28;00:00:01;22.5.2014 14:03:28;0,000;VAC;0,000;VAC;22.5.2014 14:03:28;0,000;VAC;;22.5.2014 14:03:29
58;22.5.2014 14:03:29;00:00:01;22.5.2014 14:03:29;0,000;VAC;0,000;VAC;22.5.2014 14:03:29;0,000;VAC;;22.5.2014 14:03:30
59;22.5.2014 14:03:30;00:00:01;22.5.2014 14:03:30;0,000;VAC;0,000;VAC;22.5.2014 14:03:30;0,000;VAC;;22.5.2014 14:03:31
60;22.5.2014 14:03:31;00:00:01;22.5.2014 14:03:31;0,000;VAC;0,000;VAC;22.5.2014 14:03:31;0,000;VAC;;22.5.2014 14:03:32
61;22.5.2014 14:03:32;00:00:01;22.5.2014 14:03:32;0,000;VAC;0,000;VAC;22.5.2014 14:03:32;0,000;VAC;;22.5.2014 14:03:33
62;22.5.2014 14:03:33;00:00:01;22.5.2014 14:03:33;0,000;VAC;0,000;VAC;22.5.2014 14:03:33;0,000;VAC;;22.5.2014 14:03:34
63;22.5.2014 14:03:34;00:00:01;22.5.2014 14:03:34;0,000;VAC;0,000;VAC;22.5.2014 14:03:34;0,000;VAC;;22.5.2014 14:03:35
64;22.5.2014 14:03:35;00:00:01;22.5.2014 14:03:35;0,000;VAC;0,000;VAC;22.5.2014 14:03:35;0,000;VAC;;22.5.2014 14:03:36
65;22.5.2014 14:03:36;00:00:01;22.5.2014 14:03:36;0,000;VAC;0,000;VAC;22.5.2014 14:03:36;0,000;VAC;;22.5.2014 14:03:37
66;22.5.2014 14:03:37;00:00:01;22.5.2014 14:03:37;0,000;VAC;0,000;VAC;22.5.2014 14:03:37;0,000;VAC;;22.5.2014 14:03:38
67;22.5.2014 14:03:38;00:00:01;22.5.2014 14:03:38;0,000;VAC;0,000;VAC;22.5.2014 14:03:38;0,000;VAC;;22.5.2014 14:03:39
68;22.5.2014 14:03:39;00:00:01;22.5.2014 14:03:39;0,000;VAC;0,000;VAC;22.5.2014 14:03:39;0,000;VAC;;22.5.2014 14:03:40
69;22.5.2014 14:03:40;00:00:01;22.5.2014 14:03:40;0,000;VAC;0,000;VAC;22.5.2014 14:03:40;0,000;VAC;;22.5.2014 14:03:41
70;22.5.2014 14:03:41;00:00:01;22.5.2014 14:03:41;0,000;VAC;0,000;VAC;22.5.2014 14:03:41;0,000;VAC;;22.5.2014 14:03:42
71;22.5.2014 14:03:42;00:00:01;22.5.2014 14:03:42;0,000;VAC;0,000;VAC;22.5.2014 14:03:42;0,000;VAC;;22.5.2014 14:03:43
72;22.5.2014 14:03:43;00:00:01;22.5.2014 14:03:43;0,000;VAC;0,000;VAC;22.5.2014 14:03:43;0,000;VAC;;22.5.2014 14:03:44
73;22.5.2014 14:03:44;00:00:01;22.5.2014 14:03:44;0,000;VAC;0,000;VAC;22.5.2014 14:03:44;0,000;VAC;;22.5.2014 14:03:45
74;22.5.2014 14:03:45;00:00:01;22.5.2014 14:03:45;0,000;VAC;0,000;VAC;22.5.2014 14:03:45;0,000;VAC;;22.5.2014 14:03:46
75;22.5.2014 14:03:46;00:00:01;22.5.2014 14:03:46;0,000;VAC;0,000;VAC;22.5.2014 14:03:46;0,000;VAC;;22.5.2014 14:03:47
76;22.5.2014 14:03:47;00:00:01;22.5.2014 14:03:47;0,000;VAC;0,000;VAC;22.5.2014 14:03:47;0,000;VAC;;22.5.2014 14:03:48
77;22.5.2014 14:03:48;00:00:01;22.5.2014 14:03:48;0,000;VAC;0,000;VAC;22.5.2014 14:03:48;0,000;VAC;;22.5.2014 14:03:49
78;22.5.2014 14:03:49;00:00:01;22.5.2014 14:03:49;0,000;VAC;0,000;VAC;22.5.2014 14:03:49;0,000;VAC;;22.5.2014 14:03:50
79;22.5.2014 14:03:50;00:00:01;22.5.2014 14:03:50;0,000;VAC;0,000;VAC;22.5.2014 14:03:50;0,000;VAC;;22.5.2014 14:03:51
80;22.5.2014 14:03:51;00:00:01;22.5.2014 14:03:51;0,000;VAC;0,000;VAC;22.5.2014 14:03:51;0,000;VAC;;22.5.2014 14:03:52
81;22.5.2014 14:03:52;00:00:01;22.5.2014 14:03:52;0,000;VAC;0,000;VAC;22.5.2014 14:03:52;0,000;VAC;;22.5.2014 14:03:53
82;22.5.2014 14:03:53;00:00:01;22.5.2014 14:03:53;0,000;VAC;0,000;VAC;22.5.2014 14:03:53;0,000;VAC;;22.5.2014 14:03:54
83;22.5.2014 14:03:54;00:00:01;22.5.2014 14:03:54;0,000;VAC;0,000;VAC;22.5.2014 14:03:54;0,000;VAC;;22.5.2014 14:03:55
84;22.5.2014 14:03:55;00:00:01;22.5.2014 14:03:55;0,000;VAC;0,000;VAC;22.5.2014 14:03:55;0,000;VAC;;22.5.2014 14:03:56
