Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
100;22.5.2014 14:04:04;00:00:01;22.5.2014 14:04:04;0,1;AAC;0,1;AAC;22.5.2014 14:04:04;0,0;AAC;;22.5.2014 14:04:05
101;22.5.2014 14:04:05;00:00:01;22.5.2014 14:04:05;0,1;AAC;0,0;AAC;22.5.2014 14:04:05;0,0;AAC;;22.5.2014 14:04:06
102;22.5.2014 14:04:06;00:00:01;22.5.2014 14:04:06;0,1;AAC;0,0;AAC;22.5.2014 14:04:06;0,0;AAC;;22.5.2014 14:04:07
103;22.5.2014 14:04:07;00:00:01;22.5.2014 14:04:07;0,1;AAC;0,0;AAC;22.5.2014 14:04:07;0,0;AAC;;22.5.2014 14:04:08
104;22.5.2014 14:04:08;00:00:01;22.5.2014 14:04:09;0,1;AAC;0,0;AAC;22.5.2014 14:04:08;0,0;AAC;;22.5.2014 14:04:09
105;22.5.2014 14:04:09;00:00:01;22.5.2014 14:04:09;0,1;AAC;0,1;AAC;22.5.2014 14:04:09;0,0;AAC;;22.5.2014 14:04:10
106;22.5.2014 14:04:10;00:00:01;22.5.2014 14:04:10;0,1;AAC;0,1;AAC;22.5.2014 14:04:10;0,0;AAC;;22.5.2014 14:04:11
107;22.5.2014 14:04:11;00:00:01;22.5.2014 14:04:11;0,1;AAC;0,0;AAC;22.5.2014 14:04:11;0,0;AAC;;22.5.2014 14:04:12
108;22.5.2014 14:04:12;00:00:01;22.5.2014 14:04:12;0,1;AAC;0,0;AAC;22.5.2014 14:04:13;0,0;AAC;;22.5.2014 14:04:13
109;22.5.2014 14:04:13;00:00:01;22.5.2014 14:04:13;0,1;AAC;0,1;AAC;22.5.2014 14:04:13;0,0;AAC;;22.5.2014 14:04:14
110;22.5.2014 14:04:14;00:00:01;22.5.2014 14:04:14;0,1;AAC;0,1;AAC;22.5.2014 14:04:14;0,0;AAC;;22.5.2014 14:04:15
111;22.5.2014 14:04:15;00:00:01;22.5.2014 14:04:15;0,1;AAC;0,1;AAC;22.5.2014 14:04:15;0,0;AAC;;22.5.2014 14:04:16
112;22.5.2014 14:04:16;00:00:01;22.5.2014 14:04:16;0,1;AAC;0,0;AAC;22.5.2014 14:04:16;0,0;AAC;;22.5.2014 14:04:17
113;22.5.2014 14:04:17;00:00:01;22.5.2014 14:04:17;0,1;AAC;0,1;AAC;22.5.2014 14:04:17;0,0;AAC;;22.5.2014 14:04:18
114;22.5.2014 14:04:18;00:00:01;22.5.2014 14:04:18;0,1;AAC;0,0;AAC;22.5.2014 14:04:18;0,0;AAC;;22.5.2014 14:04:19
115;22.5.2014 14:04:19;00:00:01;22.5.2014 14:04:20;0,2;AAC;0,1;AAC;22.5.2014 14:04:19;0,0;AAC;;22.5.2014 14:04:20
116;22.5.2014 14:04:20;00:00:01;22.5.2014 14:04:20;0,2;AAC;0,1;AAC;22.5.2014 14:04:20;0,0;AAC;;22.5.2014 14:04:21
117;22.5.2014 14:04:21;00:00:01;22.5.2014 14:04:22;0,1;AAC;0,0;AAC;22.5.2014 14:04:21;0,0;AAC;;22.5.2014 14:04:22
118;22.5.2014 14:04:22;00:00:01;22.5.2014 14:04:22;0,1;AAC;0,1;AAC;22.5.2014 14:04:23;0,0;AAC;;22.5.2014 14:04:23
119;22.5.2014 14:04:23;00:00:01;22.5.2014 14:04:23;0,1;AAC;0,1;AAC;22.5.2014 14:04:23;0,0;AAC;;22.5.2014 14:04:24
120;22.5.2014 14:04:24;00:00:01;22.5.2014 14:04:24;0,1;AAC;0,1;AAC;22.5.2014 14:04:25;0,0;AAC;;22.5.2014 14:04:25
121;22.5.2014 14:04:25;00:00:01;22.5.2014 14:04:25;0,1;AAC;0,0;AAC;22.5.2014 14:04:25;0,0;AAC;;22.5.2014 14:04:26
122;22.5.2014 14:04:26;00:00:01;22.5.2014 14:04:26;0,1;AAC;0,1;AAC;22.5.2014 14:04:26;0,1;AAC;;22.5.2014 14:04:27
123;22.5.2014 14:04:27;00:00:01;22.5.2014 14:04:27;0,1;AAC;0,1;AAC;22.5.2014 14:04:28;0,0;AAC;;22.5.2014 14:04:28
124;22.5.2014 14:04:28;00:00:01;22.5.2014 14:04:29;0,1;AAC;0,1;AAC;22.5.2014 14:04:28;0,0;AAC;;22.5.2014 14:04:29
125;22.5.2014 14:04:29;00:00:01;22.5.2014 14:04:29;0,1;AAC;0,1;AAC;22.5.2014 14:04:29;0,0;AAC;;22.5.2014 14:04:30
126;22.5.2014 14:04:30;00:00:01;22.5.2014 14:04:31;0,1;AAC;0,1;AAC;22.5.2014 14:04:30;0,0;AAC;;22.5.2014 14:04:31
127;22.5.2014 14:04:31;00:00:01;22.5.2014 14:04:31;0,1;AAC;0,1;AAC;22.5.2014 14:04:31;0,0;AAC;;22.5.2014 14:04:32
128;22.5.2014 14:04:32;00:00:01;22.5.2014 14:04:33;0,6;AAC;0,1;AAC;22.5.2014 14:04:32;0,0;AAC;;22.5.2014 14:04:33
129;22.5.2014 14:04:33;00:00:01;22.5.2014 14:04:33;0,6;AAC;0,3;AAC;22.5.2014 14:04:33;0,0;AAC;;22.5.2014 14:04:34
130;22.5.2014 14:04:34;00:00:01;22.5.2014 14:04:34;0,3;AAC;0,1;AAC;22.5.2014 14:04:34;0,1;AAC;;22.5.2014 14:04:35
131;22.5.2014 14:04:35;00:00:01;22.5.2014 14:04:36;0,6;AAC;0,2;AAC;22.5.2014 14:04:35;0,1;AAC;;22.5.2014 14:04:36
132;22.5.2014 14:04:36;00:00:01;22.5.2014 14:04:36;0,6;AAC;0,3;AAC;22.5.2014 14:04:36;0,1;AAC;;22.5.2014 14:04:37
133;22.5.2014 14:04:37;00:00:01;22.5.2014 14:04:37;0,5;AAC;0,3;AAC;22.5.2014 14:04:37;0,1;AAC;;22.5.2014 14:04:38
134;22.5.2014 14:04:38;00:00:01;22.5.2014 14:04:38;0,5;AAC;0,3;AAC;22.5.2014 14:04:38;0,1;AAC;;22.5.2014 14:04:39
135;22.5.2014 14:04:39;00:00:01;22.5.2014 14:04:39;0,5;AAC;0,2;AAC;22.5.2014 14:04:39;0,1;AAC;;22.5.2014 14:04:40
136;22.5.2014 14:04:40;00:00:01;22.5.2014 14:04:40;0,5;AAC;0,3;AAC;22.5.2014 14:04:40;0,0;AAC;;22.5.2014 14:04:41
137;22.5.2014 14:04:41;00:00:01;22.5.2014 14:04:41;0,5;AAC;0,3;AAC;22.5.2014 14:04:41;0,1;AAC;;22.5.2014 14:04:42
138;22.5.2014 14:04:42;00:00:01;22.5.2014 14:04:42;0,6;AAC;0,2;AAC;22.5.2014 14:04:42;0,1;AAC;;22.5.2014 14:04:43
139;22.5.2014 14:04:43;00:00:01;22.5.2014 14:04:43;0,6;AAC;0,3;AAC;22.5.2014 14:04:43;0,1;AAC;;22.5.2014 14:04:44
140;22.5.2014 14:04:44;00:00:01;22.5.2014 14:04:44;0,5;AAC;0,3;AAC;22.5.2014 14:04:44;0,1;AAC;;22.5.2014 14:04:45
141;22.5.2014 14:04:45;00:00:01;22.5.2014 14:04:45;0,6;AAC;0,2;AAC;22.5.2014 14:04:45;0,0;AAC;;22.5.2014 14:04:46
142;22.5.2014 14:04:46;00:00:01;22.5.2014 14:04:46;0,6;AAC;0,2;AAC;22.5.2014 14:04:46;0,0;AAC;;22.5.2014 14:04:47
143;22.5.2014 14:04:47;00:00:01;22.5.2014 14:04:47;0,6;AAC;0,3;AAC;22.5.2014 14:04:47;0,1;AAC;;22.5.2014 14:04:48
144;22.5.2014 14:04:48;00:00:01;22.5.2014 14:04:48;0,5;AAC;0,2;AAC;22.5.2014 14:04:48;0,1;AAC;;22.5.2014 14:04:49
145;22.5.2014 14:04:49;00:00:01;22.5.2014 14:04:49;0,5;AAC;0,3;AAC;22.5.2014 14:04:49;0,1;AAC;;22.5.2014 14:04:50
146;22.5.2014 14:04:50;00:00:01;22.5.2014 14:04:50;0,5;AAC;0,3;AAC;22.5.2014 14:04:50;0,1;AAC;;22.5.2014 14:04:51
147;22.5.2014 14:04:51;00:00:01;22.5.2014 14:04:51;0,5;AAC;0,2;AAC;22.5.2014 14:04:51;0,0;AAC;;22.5.2014 14:04:52
148;22.5.2014 14:04:52;00:00:01;22.5.2014 14:04:53;0,6;AAC;0,3;AAC;22.5.2014 14:04:52;0,1;AAC;;22.5.2014 14:04:53
149;22.5.2014 14:04:53;00:00:01;22.5.2014 14:04:53;0,6;AAC;0,3;AAC;22.5.2014 14:04:53;0,1;AAC;;22.5.2014 14:04:54
150;22.5.2014 14:04:54;00:00:01;22.5.2014 14:04:54;0,6;AAC;0,2;AAC;22.5.2014 14:04:54;0,1;AAC;;22.5.2014 14:04:55
151;22.5.2014 14:04:55;00:00:01;22.5.2014 14:04:55;0,6;AAC;0,3;AAC;22.5.2014 14:04:55;0,1;AAC;;22.5.2014 14:04:56
152;22.5.2014 14:04:56;00:00:01;22.5.2014 14:04:56;0,5;AAC;0,3;AAC;22.5.2014 14:04:56;0,1;AAC;;22.5.2014 14:04:57
153;22.5.2014 14:04:57;00:00:01;22.5.2014 14:04:57;0,6;AAC;0,3;AAC;22.5.2014 14:04:57;0,1;AAC;;22.5.2014 14:04:58
154;22.5.2014 14:04:58;00:00:01;22.5.2014 14:04:58;0,6;AAC;0,2;AAC;22.5.2014 14:04:59;0,0;AAC;;22.5.2014 14:04:59
